SMPDB_ID	HMDB_ID
PW_C003149	HMDB0007098
PW_C004971	HMDB0008923
PW_C007100	HMDB0011503
PW_C000072	HMDB0000114
PW_C000096	HMDB0000149
PW_C000477	HMDB0000614
PW_C008389	HMDB0013472
PW_C006578	HMDB0010570
PW_C036841	HMDB0056387
PW_C000194	HMDB0000288
PW_C000119	HMDB0000186
PW_C000152	HMDB0000227
PW_C001036	HMDB0001343
PW_C000857	HMDB0001090
PW_C001039	HMDB0001347
PW_C000874	HMDB0001120
PW_C000993	HMDB0001285
PW_C000768	HMDB0000961
PW_C000175	HMDB0000256
PW_C000924	HMDB0001188
PW_C000966	HMDB0001251
PW_C002962	HMDB0006839
PW_C000809	HMDB0001023
PW_C000994	HMDB0001286
PW_C002963	HMDB0006840
PW_C003009	HMDB0006927
PW_C002961	HMDB0006838
PW_C000946	HMDB0001217
PW_C002697	HMDB0006271
PW_C002965	HMDB0006842
PW_C002964	HMDB0006841
PW_C000908	HMDB0001170
PW_C001989	HMDB0003896
PW_C000022	HMDB0000032
PW_C000047	HMDB0000067
PW_C001690	HMDB0002719
PW_C000699	HMDB0000876
PW_C001360	HMDB0002027
PW_C040705	HMDB0061373
PW_C040704	HMDB0061374
PW_C000540	HMDB0000687
PW_C000547	HMDB0000695
PW_C002976	HMDB0006865
PW_C002978	HMDB0006867
PW_C000870	HMDB0001113
PW_C000782	HMDB0000985
PW_C001150	HMDB0001493
PW_C000832	HMDB0001057
PW_C000704	HMDB0000883
PW_C000012	HMDB0000019
PW_C002977	HMDB0006866
PW_C002979	HMDB0006868
PW_C000800	HMDB0001011
PW_C000829	HMDB0001052
PW_C000016	HMDB0000023
PW_C001500	HMDB0002217
PW_C000112	HMDB0000172
PW_C000373	HMDB0000491
PW_C002980	HMDB0006869
PW_C000820	HMDB0001041
PW_C001378	HMDB0002054
PW_C001047	HMDB0001356
PW_C000897	HMDB0001157
PW_C001188	HMDB0001545
PW_C008511	HMDB0013617
PW_C002981	HMDB0006870
PW_C001455	HMDB0002166
PW_C001560	HMDB0002310
PW_C001523	HMDB0002255
PW_C001401	HMDB0002086
PW_C001033	HMDB0001340
PW_C000767	HMDB0000960
PW_C001112	HMDB0001440
PW_C000822	HMDB0001044
PW_C000058	HMDB0000085
PW_C000086	HMDB0000132
PW_C000087	HMDB0000133
PW_C001146	HMDB0001489
PW_C001042	HMDB0001351
PW_C000198	HMDB0000292
PW_C001191	HMDB0001548
PW_C001355	HMDB0002022
PW_C001007	HMDB0001308
PW_C000791	HMDB0000999
PW_C000955	HMDB0001235
PW_C002699	HMDB0006273
PW_C000637	HMDB0000797
PW_C001168	HMDB0001517
PW_C001111	HMDB0001439
PW_C000203	HMDB0000299
PW_C000127	HMDB0000195
PW_C000102	HMDB0000157
PW_C000195	HMDB0000289
PW_C000050	HMDB0000071
PW_C000024	HMDB0000034
PW_C000068	HMDB0000101
PW_C000041	HMDB0000058
PW_C001161	HMDB0001508
PW_C000724	HMDB0000905
PW_C001177	HMDB0001532
PW_C007218	HMDB0011629
PW_C001846	HMDB0003335
PW_C000121	HMDB0000189
PW_C001801	HMDB0003192
